FIPS,State,County,FIR,FIP,Lo_Thresh,Lo_Type,Hi_Thresh,Hi_Type,P_Below,P_Between,P_Above,CFIR,CFIP,C_Below,C_Above,Meal,Budget,Year,Total,White,Black,Native,Asian,Pacific,Other,Biracial
48035,TX,Bosque,0.18,3260,1.65,SNAP,1.85,Other Nutrition Program,0.627,0.089,0.284,0.271,1100.0,0.73,0.27,2.66,1492640,2010,18235.0,0.7942418426103647,0.015300246778173841,0.008500137098985467,0.004387167534960241,0.00016451878256100905,0.07194954757334796,0.1054565396216068
48037,TX,Bowie,0.21,19150,1.65,SNAP,1.85,Other Nutrition Program,0.579,0.063,0.358,0.226,5000.0,0.86,0.14,2.26,7449600,2010,92893.0,0.6187979718600971,0.25029873079779963,0.00811686564111397,0.011776990731271463,0.0009042661987447924,0.04597763017665486,0.0641275445943182
48039,TX,Brazoria,0.171,51450,1.65,SNAP,1.85,Other Nutrition Program,0.417,0.063,0.52,0.224,18480.0,0.5,0.5,2.41,21343130,2010,372031.0,0.5113337329416097,0.1483102214600396,0.007362289701664646,0.07147791447486904,0.0004918944926632458,0.11282930723514976,0.14819463969400398
48041,TX,Brazos,0.204,37860,1.65,SNAP,1.85,Other Nutrition Program,0.661,0.041,0.298,0.236,8780.0,0.7,0.3,2.27,14793200,2010,233849.0,0.5995578343289901,0.10408853576453181,0.006918994735919333,0.06313048163558535,0.0009963694520823266,0.10059910455037224,0.12470867953251885
48043,TX,Brewster,0.146,1310,1.65,SNAP,1.85,Other Nutrition Program,0.669,0.082,0.249,0.235,410.0,0.47,0.53,2.68,604310,2010,9546.0,0.6715901948460088,0.020741671904462602,0.01466582861931699,0.009847056358684266,0.0011523151058034779,0.08307144353655982,0.19893148962916404
48045,TX,Briscoe,0.167,290,1.65,SNAP,1.85,Other Nutrition Program,0.751,0.115,0.134,0.264,100.0,0.75,0.25,2.34,116810,2010,1435.0,0.818815331010453,0.012543554006968641,0.004878048780487805,0.0,0.0,0.09825783972125436,0.06550522648083623
48047,TX,Brooks,0.193,1420,1.65,SNAP,1.85,Other Nutrition Program,0.941,0.059,0.0,0.37,760.0,0.64,0.36,2.01,491290,2010,7076.0,0.41181458451102315,0.0035330695308083662,0.0031091011871113624,0.004098360655737705,0.00014132278123233464,0.10881854154889768,0.46848501978518936
48049,TX,Brown,0.173,6600,1.65,SNAP,1.85,Other Nutrition Program,0.643,0.099,0.258,0.244,2200.0,0.76,0.24,2.38,2703810,2010,38095.0,0.7698123113269458,0.03837773986087413,0.006090038062737892,0.007192544953405959,0.0007087544297151858,0.07352670954193463,0.1042919018243864
48051,TX,Burleson,0.173,2950,1.65,SNAP,1.85,Other Nutrition Program,0.56,0.107,0.332,0.22,870.0,0.77,0.23,2.4,1218680,2010,17642.0,0.6888107924271625,0.10815100328760911,0.007822242376147828,0.0040244870196122886,0.0,0.07391452216302007,0.11727695272644825
48053,TX,Burnet,0.157,6640,1.65,SNAP,1.85,Other Nutrition Program,0.594,0.128,0.278,0.238,2310.0,0.71,0.29,2.29,2617330,2010,49130.0,0.7703032770201507,0.013087726440056992,0.007592102584978628,0.008711581518420518,0.0003053124363932424,0.08687156523509057,0.11312843476490943
48055,TX,Caldwell,0.179,6690,1.65,SNAP,1.85,Other Nutrition Program,0.601,0.085,0.314,0.298,2700.0,0.65,0.35,2.05,2360670,2010,45883.0,0.515070941307238,0.053178737222936596,0.010875487653379248,0.005187106335679882,0.0005884532397620034,0.21158163154109366,0.20351764269991066
48057,TX,Calhoun,0.168,3550,1.65,SNAP,1.85,Other Nutrition Program,0.642,0.07,0.288,0.289,1630.0,0.6,0.4,2.16,1319890,2010,20106.0,0.564806525415299,0.02118770516263802,0.005769422063065751,0.05545608276136477,0.00019894558838157763,0.12110812692728538,0.2314731920819656
48059,TX,Callahan,0.159,2140,1.65,SNAP,1.85,Other Nutrition Program,0.578,0.071,0.352,0.228,730.0,0.64,0.36,2.62,965100,2010,13708.0,0.8866355412897579,0.009702363583309016,0.005836008170411439,0.0038663554128975782,0.0005106507149110009,0.02567843594981033,0.06777064487890283
48061,TX,Cameron,0.205,80790,1.65,SNAP,1.85,Other Nutrition Program,0.95,0.05,0.0,0.394,51040.0,0.71,0.29,2.0,27812710,2010,421017.0,0.38646182933230727,0.0049309172788747245,0.006847704486992212,0.006664814009885587,0.0003539049492063266,0.19033198184396355,0.40440884809877037
48063,TX,Camp,0.209,2570,1.65,SNAP,1.85,Other Nutrition Program,0.675,0.086,0.239,0.279,910.0,0.85,0.15,2.48,1097090,2010,12464.0,0.5975609756097561,0.1522785622593068,0.005054557124518614,0.008664955070603338,0.0006418485237483953,0.13318356867779205,0.1026155327342747
48065,TX,Carson,0.132,830,1.65,SNAP,1.85,Other Nutrition Program,0.422,0.07,0.508,0.178,280.0,0.34,0.66,2.89,412890,2010,5807.0,0.8729120027552953,0.003444119166523162,0.009299121749612537,0.0037885310831754777,0.0013776476666092646,0.023592216290683657,0.08558636128810057
48067,TX,Cass,0.229,6940,1.65,SNAP,1.85,Other Nutrition Program,0.61,0.053,0.337,0.278,1970.0,0.77,0.23,2.37,2831150,2010,28454.0,0.7547972165600618,0.15959091867575737,0.0068180220707106205,0.004217333239614817,0.0003514444366345681,0.019997188444506923,0.05422787657271386
48069,TX,Castro,0.158,1240,1.65,SNAP,1.85,Other Nutrition Program,0.901,0.099,0.0,0.297,710.0,0.78,0.22,2.55,544270,2010,7371.0,0.49871116537783206,0.014652014652014652,0.007868674535341203,0.002984669651336318,0.000542667209333876,0.2078415411748745,0.2673992673992674
48071,TX,Chambers,0.178,5760,1.65,SNAP,1.85,Other Nutrition Program,0.407,0.051,0.543,0.229,2100.0,0.44,0.56,2.7,2676960,2010,46571.0,0.7003070580404114,0.06929204869983466,0.007236262910394881,0.013742457752678705,2.1472590238560478e-05,0.0931695690451139,0.11623113096132787
48073,TX,Cherokee,0.214,10700,1.65,SNAP,1.85,Other Nutrition Program,0.677,0.064,0.259,0.288,3650.0,0.81,0.19,2.36,4346620,2010,50412.0,0.6374275966039832,0.12746965008331348,0.009204157740220582,0.005217011822581925,0.00035705784337062603,0.12346266761882091,0.09686185828770928
48075,TX,Childress,0.178,1270,1.65,SNAP,1.85,Other Nutrition Program,0.467,0.025,0.508,0.237,350.0,0.62,0.39,2.36,515910,2010,6664.0,0.6643157262905162,0.08733493397358943,0.004351740696278511,0.007653061224489796,0.00030012004801920766,0.14360744297719089,0.09243697478991597
48077,TX,Clay,0.159,1740,1.65,SNAP,1.85,Other Nutrition Program,0.515,0.066,0.42,0.232,590.0,0.62,0.38,2.59,775720,2010,10218.0,0.8982188295165394,0.003816793893129771,0.009199451947543551,0.004893325504012527,0.0,0.018888236445488354,0.06498336269328636
48079,TX,Cochran,0.186,590,1.65,SNAP,1.85,Other Nutrition Program,0.838,0.141,0.02,0.337,270.0,0.85,0.15,2.78,282330,2010,2547.0,0.5685119748723989,0.027875932469572047,0.0043188064389477815,0.0015704750687082843,0.0,0.2277188849627012,0.17000392618767177
48081,TX,Coke,0.171,560,1.65,SNAP,1.85,Other Nutrition Program,0.567,0.085,0.348,0.276,180.0,0.57,0.43,2.6,250620,2010,3285.0,0.828310502283105,0.00213089802130898,0.0091324200913242,0.00030441400304414006,0.0018264840182648401,0.052968036529680365,0.10532724505327246
48083,TX,Coleman,0.204,1800,1.65,SNAP,1.85,Other Nutrition Program,0.794,0.096,0.111,0.315,640.0,0.79,0.21,2.52,780780,2010,7684.0,0.8565851119208745,0.01965122332118688,0.008459135866736075,0.004164497657470068,0.0,0.04346694429984383,0.0676730869338886
48085,TX,Collin,0.152,112360,1.65,SNAP,1.85,Other Nutrition Program,0.315,0.046,0.639,0.19,40130.0,0.38,0.62,2.44,47190780,2010,1064465.0,0.543382826114527,0.10360509739634464,0.007036398566415993,0.17775032528077486,0.0006754566848134979,0.05651289614970901,0.111036999807415
48087,TX,Collingsworth,0.166,500,1.65,SNAP,1.85,Other Nutrition Program,0.708,0.123,0.169,0.257,220.0,0.71,0.29,2.66,228930,2010,2652.0,0.726998491704374,0.04562594268476621,0.013951734539969835,0.003393665158371041,0.0003770739064856712,0.10143288084464555,0.10822021116138764
48089,TX,Colorado,0.18,3730,1.65,SNAP,1.85,Other Nutrition Program,0.578,0.064,0.359,0.242,1160.0,0.7,0.31,2.23,1431760,2010,20557.0,0.6406090382837962,0.11358661283261176,0.004864523033516564,0.004037554117818748,0.0,0.12448314442768886,0.11241912730456778
48091,TX,Comal,0.143,14710,1.65,SNAP,1.85,Other Nutrition Program,0.467,0.074,0.459,0.215,5240.0,0.52,0.48,2.37,6000900,2010,161501.0,0.7324536690175293,0.024024619042606547,0.007027820261174853,0.0122228345335323,0.0010340493247719827,0.06206153522269212,0.16117547259769288
48093,TX,Comanche,0.177,2460,1.65,SNAP,1.85,Other Nutrition Program,0.71,0.092,0.198,0.282,940.0,0.7,0.3,2.51,1062830,2010,13594.0,0.7573194056201266,0.003530969545387671,0.008533176401353539,0.002795350890098573,0.00022068559658672943,0.10453141091658084,0.12306900102986612
48095,TX,Concho,0.169,680,1.65,SNAP,1.85,Other Nutrition Program,0.367,0.074,0.559,0.297,180.0,0.59,0.41,2.31,270380,2010,3303.0,0.7623372691492583,0.02482591583409022,0.005752346351801393,0.00696336663639116,0.0003027550711474417,0.10323947926127762,0.09657886769603391
48097,TX,Cooke,0.161,6170,1.65,SNAP,1.85,Other Nutrition Program,0.605,0.085,0.31,0.239,2300.0,0.69,0.31,2.48,2633860,2010,41668.0,0.7593597004895843,0.02959105308630124,0.013199577613516367,0.007535758855716617,0.00047998464049150427,0.07626955937410003,0.11356436594028992
48099,TX,Coryell,0.191,14180,1.65,SNAP,1.85,Other Nutrition Program,0.504,0.074,0.423,0.235,4670.0,0.75,0.25,2.13,5198900,2010,83093.0,0.608101765491678,0.14870085326080415,0.008087323841960214,0.022986292467476202,0.013153935951283502,0.07765997135739473,0.1213098576294032
48101,TX,Cottle,0.165,270,1.65,SNAP,1.85,Other Nutrition Program,0.758,0.112,0.13,0.198,70.0,1.0,0.0,2.33,108290,2010,1380.0,0.7442028985507246,0.06956521739130435,0.0036231884057971015,0.0,0.0014492753623188406,0.08768115942028985,0.09347826086956522
48103,TX,Crane,0.162,670,1.65,SNAP,1.85,Other Nutrition Program,0.582,0.14,0.278,0.281,330.0,0.62,0.38,2.84,327530,2010,4675.0,0.532192513368984,0.01647058823529412,0.007700534759358289,0.004705882352941176,0.0,0.19550802139037432,0.24342245989304812
48105,TX,Crockett,0.142,530,1.65,SNAP,1.85,Other Nutrition Program,0.756,0.193,0.05,0.278,320.0,0.69,0.31,2.74,249970,2010,3098.0,0.6074887023886378,0.005810200129115558,0.009683666881859263,0.0032278889606197547,0.00032278889606197545,0.14557779212395094,0.2278889606197547
48107,TX,Crosby,0.179,1110,1.65,SNAP,1.85,Other Nutrition Program,0.754,0.109,0.137,0.317,570.0,0.7,0.3,2.72,519690,2010,5133.0,0.6345217221897526,0.029417494642509253,0.008182349503214495,0.0023378141437755697,0.0001948178453146308,0.17163452172218976,0.1537112799532437
48109,TX,Culberson,0.152,380,1.65,SNAP,1.85,Other Nutrition Program,0.8,0.125,0.075,0.269,230.0,0.62,0.38,3.06,200150,2010,2188.0,0.463436928702011,0.009597806215722121,0.011425959780621572,0.012797074954296161,0.0,0.23263254113345522,0.27010968921389394
48111,TX,Dallam,0.137,880,1.65,SNAP,1.85,Other Nutrition Program,0.78,0.152,0.068,0.22,430.0,0.82,0.18,2.6,393830,2010,7115.0,0.5451862262825018,0.0106816584680253,0.017006324666198173,0.0018271257905832748,0.00042164441321152494,0.1870695713281799,0.23780744905130008
48113,TX,Dallas,0.196,455340,1.65,SNAP,1.85,Other Nutrition Program,0.652,0.067,0.281,0.259,165240.0,0.77,0.23,2.34,183403360,2010,2613539.0,0.35365188734509034,0.21969559283408435,0.012034639620835962,0.07006744494725352,0.0006565809808080155,0.18276367790953185,0.16113017636239596
48115,TX,Dawson,0.174,2410,1.65,SNAP,1.85,Other Nutrition Program,0.639,0.086,0.275,0.296,960.0,0.72,0.28,2.41,999750,2010,12456.0,0.6108702633269107,0.07217405266538214,0.00802825947334618,0.00449582530507386,0.0003211303789338471,0.14611432241490044,0.1579961464354528
48117,TX,Deaf Smith,0.137,2620,1.65,SNAP,1.85,Other Nutrition Program,0.829,0.171,0.0,0.275,1680.0,0.69,0.31,2.36,1064310,2010,18583.0,0.48721950169509765,0.00936339665285476,0.010547274390572028,0.0033901953398267235,0.00016143787332508207,0.2423182478609482,0.24699994618737556
48119,TX,Delta,0.192,1010,1.65,SNAP,1.85,Other Nutrition Program,0.605,0.114,0.282,0.252,320.0,0.79,0.21,2.58,448540,2010,5230.0,0.8254302103250478,0.05965583173996176,0.009177820267686425,0.007074569789674952,0.0009560229445506692,0.02791586998087954,0.06978967495219886
48121,TX,Denton,0.154,96930,1.65,SNAP,1.85,Other Nutrition Program,0.375,0.055,0.57,0.194,33440.0,0.43,0.57,2.45,40877090,2010,906422.0,0.5807041311883427,0.10794861554551853,0.008243400976587064,0.10311201625732827,0.0008318421221020672,0.07107395892862264,0.12808603498149868
48123,TX,DeWitt,0.178,3570,1.65,SNAP,1.85,Other Nutrition Program,0.586,0.068,0.346,0.253,1120.0,0.69,0.31,2.03,1247440,2010,0.0,,,,,,,
48125,TX,Dickens,0.208,510,1.65,SNAP,1.85,Other Nutrition Program,0.564,0.079,0.357,0.358,160.0,0.65,0.35,2.32,203660,2010,1770.0,0.7700564971751412,0.01694915254237288,0.006779661016949152,0.0011299435028248588,0.0011299435028248588,0.09209039548022599,0.11186440677966102
48127,TX,Dimmit,0.201,1990,1.65,SNAP,1.85,Other Nutrition Program,0.888,0.107,0.004,0.4,1200.0,0.65,0.35,2.05,702200,2010,8615.0,0.44712710388856647,0.01033081834010447,0.0062681369704004645,0.00824143934997098,0.0015089959373186302,0.17771329077190945,0.3488102147417295
48129,TX,Donley,0.158,580,1.65,SNAP,1.85,Other Nutrition Program,0.487,0.085,0.428,0.201,150.0,0.67,0.34,2.77,276540,2010,3258.0,0.8127685696746471,0.05279312461632903,0.009515039901780233,0.003069367710251688,0.0003069367710251688,0.03683241252302026,0.0847145488029466
48131,TX,Duval,0.178,2140,1.65,SNAP,1.85,Other Nutrition Program,0.816,0.162,0.022,0.335,1050.0,0.72,0.29,2.81,1035080,2010,9831.0,0.5079849455803072,0.01627504831654969,0.005289390702878649,0.0045773573390296,0.0,0.12511443393347574,0.34075882412775915
48133,TX,Eastland,0.191,3540,1.65,SNAP,1.85,Other Nutrition Program,0.688,0.061,0.251,0.274,1140.0,0.69,0.31,2.37,1444130,2010,17725.0,0.8280394922425952,0.020084626234132583,0.00846262341325811,0.0058674188998589566,0.0009026798307475317,0.05433004231311707,0.08231311706629055
48135,TX,Ector,0.16,21240,1.65,SNAP,1.85,Other Nutrition Program,0.678,0.098,0.224,0.268,10080.0,0.64,0.36,2.26,8262640,2010,165171.0,0.4841346241168244,0.04862233685089998,0.010032027414013356,0.014161081545791937,0.002155342039462133,0.20719738937222637,0.23369719866078187
48137,TX,Edwards,0.17,340,1.65,SNAP,1.85,Other Nutrition Program,0.826,0.106,0.068,0.329,140.0,0.66,0.34,2.31,135190,2010,1422.0,0.6758087201125176,0.0014064697609001407,0.006329113924050633,0.007735583684950774,0.0007032348804500703,0.0808720112517581,0.2271448663853727
48139,TX,Ellis,0.169,24250,1.65,SNAP,1.85,Other Nutrition Program,0.487,0.068,0.445,0.234,9650.0,0.57,0.43,2.35,9809240,2010,192455.0,0.6182899898677613,0.12628926242498245,0.008770881504767349,0.00822010340079499,0.0011327323270374893,0.10397235717440441,0.133324673300252
48141,TX,El Paso,0.177,136400,1.65,SNAP,1.85,Other Nutrition Program,0.877,0.112,0.01,0.337,78480.0,0.69,0.32,2.28,53530940,2010,865657.0,0.3624310783601357,0.03356294698708611,0.011941219212690478,0.013946632442179755,0.0021775368304074246,0.21752264465024831,0.3584179415172522
48143,TX,Erath,0.173,6420,1.65,SNAP,1.85,Other Nutrition Program,0.697,0.096,0.208,0.244,1990.0,0.76,0.24,2.31,2552720,2010,42545.0,0.7679868374662122,0.02931014220237396,0.00977788224233165,0.008297097191209309,0.0003290633446938536,0.0858385239158538,0.09846045363732518
48145,TX,Falls,0.23,4100,1.65,SNAP,1.85,Other Nutrition Program,0.734,0.034,0.232,0.281,1110.0,0.96,0.04,1.99,1404410,2010,16968.0,0.5816831683168316,0.22347949080622348,0.006718528995756719,0.0033003300330033004,0.0004714757190004715,0.10496228194247996,0.07938472418670438
48147,TX,Fannin,0.191,6440,1.65,SNAP,1.85,Other Nutrition Program,0.515,0.062,0.423,0.251,1840.0,0.63,0.37,2.39,2649350,2010,35662.0,0.7921316807806629,0.06216701250630924,0.011693118725814593,0.00426223991924177,0.00070102630250687,0.05577365262744658,0.07327126913801806
48149,TX,Fayette,0.153,3710,1.65,SNAP,1.85,Other Nutrition Program,0.524,0.121,0.355,0.222,1180.0,0.68,0.32,2.17,1385760,2010,24435.0,0.7483527726621649,0.05983220789850624,0.007120933087783917,0.0029056680990382647,0.00024554941682013506,0.07869858809085328,0.10284428074483323
48151,TX,Fisher,0.159,640,1.65,SNAP,1.85,Other Nutrition Program,0.655,0.068,0.277,0.246,240.0,0.63,0.37,2.84,312860,2010,3672.0,0.795479302832244,0.029139433551198256,0.008169934640522876,0.003812636165577342,0.0005446623093681918,0.06917211328976035,0.09368191721132897
48153,TX,Floyd,0.181,1190,1.65,SNAP,1.85,Other Nutrition Program,0.747,0.092,0.161,0.315,620.0,0.64,0.36,2.6,532570,2010,5402.0,0.5740466493891151,0.029248426508700482,0.0027767493520918177,0.0022213994816734544,0.0009255831173639393,0.12180673824509441,0.26897445390596075
48155,TX,Foard,0.183,250,1.65,SNAP,1.85,Other Nutrition Program,0.772,0.142,0.086,0.277,90.0,0.78,0.22,2.33,100270,2010,1095.0,0.8438356164383561,0.017351598173515982,0.0,0.0045662100456621,0.0009132420091324201,0.07397260273972603,0.0593607305936073
48157,TX,Fort Bend,0.169,91740,1.65,SNAP,1.85,Other Nutrition Program,0.378,0.055,0.567,0.187,30220.0,0.53,0.47,2.44,38530460,2010,822779.0,0.34301069910632137,0.2078054981957488,0.00555920848733378,0.2218542281706266,0.000450910876432189,0.09137326062040961,0.1299461945431276
48159,TX,Franklin,0.176,1870,1.65,SNAP,1.85,Other Nutrition Program,0.561,0.104,0.335,0.257,670.0,0.66,0.34,2.57,827240,2010,10359.0,0.7855970653537986,0.038517231392991604,0.007433149917945748,0.0065643401872767645,0.0005792064871126556,0.06834636547929338,0.09296264118158123
48161,TX,Freestone,0.186,3610,1.65,SNAP,1.85,Other Nutrition Program,0.527,0.061,0.412,0.23,1040.0,0.71,0.29,2.62,1628040,2010,19435.0,0.6862361718549009,0.14226910213532287,0.007512220221250322,0.003756110110625161,0.0007203498842294829,0.09791613069205042,0.06158991510162079
48163,TX,Frio,0.158,2680,1.65,SNAP,1.85,Other Nutrition Program,0.686,0.092,0.222,0.297,1280.0,0.57,0.43,1.98,913390,2010,18385.0,0.46331248300244765,0.039107968452542836,0.0070709817786238785,0.01082404133804732,0.0004895295077508839,0.27304868098993745,0.20614631493065
48165,TX,Gaines,0.157,2610,1.65,SNAP,1.85,Other Nutrition Program,0.739,0.142,0.12,0.257,1440.0,0.74,0.26,2.41,1082710,2010,21598.0,0.7026113529030465,0.013056764515232891,0.005185665339383277,0.0034725437540513012,0.0004630058338735068,0.10093527178442449,0.17427539586998797
48167,TX,Galveston,0.184,52810,1.65,SNAP,1.85,Other Nutrition Program,0.48,0.058,0.461,0.232,16800.0,0.59,0.41,2.43,22089100,2010,350682.0,0.6116994884254111,0.12612281212038257,0.007707837870207197,0.03559350066441962,0.0008440695558939437,0.08370546535037442,0.1343268260133112
48169,TX,Garza,0.153,950,1.65,SNAP,1.85,Other Nutrition Program,0.505,0.076,0.42,0.28,360.0,0.52,0.49,2.76,451320,2010,5816.0,0.7436382393397524,0.051066024759284734,0.005502063273727648,0.004814305364511692,0.0,0.11657496561210454,0.07840440165061899
48171,TX,Gillespie,0.129,3130,1.65,SNAP,1.85,Other Nutrition Program,0.475,0.113,0.412,0.196,960.0,0.59,0.41,2.31,1244550,2010,26725.0,0.7997380729653882,0.00411599625818522,0.00617399438727783,0.00490177736202058,3.7418147801683815e-05,0.05927034611786717,0.1257623947614593
48173,TX,Glasscock,0.141,190,1.65,SNAP,1.85,Other Nutrition Program,0.442,0.025,0.533,0.23,90.0,0.47,0.53,2.31,75550,2010,1116.0,0.7688172043010753,0.007168458781362007,0.0062724014336917565,0.0,0.002688172043010753,0.08064516129032258,0.13440860215053763
48175,TX,Goliad,0.153,1100,1.65,SNAP,1.85,Other Nutrition Program,0.542,0.081,0.376,0.244,390.0,0.6,0.41,2.57,486610,2010,7012.0,0.7311751283513976,0.039361095265259556,0.004420992584141472,0.003993154592127781,0.0,0.0748716486023959,0.14617798060467768
48177,TX,Gonzales,0.167,3280,1.65,SNAP,1.85,Other Nutrition Program,0.799,0.11,0.091,0.276,1470.0,0.77,0.24,2.07,1168690,2010,19653.0,0.5770620261537679,0.0603470208110721,0.007937719432147763,0.003409148730473719,0.0005088281687274207,0.18460285961430825,0.16613239708950286
48179,TX,Gray,0.17,3830,1.65,SNAP,1.85,Other Nutrition Program,0.563,0.108,0.329,0.253,1390.0,0.66,0.34,2.36,1555850,2010,21227.0,0.6892636736232157,0.04089131766146888,0.009657511659678712,0.006030056060677439,0.0,0.12568898101474538,0.1284684599802139
48181,TX,Grayson,0.178,21250,1.65,SNAP,1.85,Other Nutrition Program,0.511,0.081,0.408,0.245,7010.0,0.63,0.37,2.26,8266530,2010,135543.0,0.7366813483543968,0.0565355643596497,0.017610647543583956,0.014681687730093033,0.0006123517997978501,0.06960890639870743,0.10426949381377128
48183,TX,Gregg,0.193,23040,1.65,SNAP,1.85,Other Nutrition Program,0.582,0.064,0.353,0.228,6880.0,0.76,0.25,2.28,9042180,2010,124239.0,0.587923276909827,0.20333389676349617,0.006584083902800248,0.013192314812578982,0.00044269512793889196,0.09414918020911309,0.09437455227424561
48185,TX,Grimes,0.196,5140,1.65,SNAP,1.85,Other Nutrition Program,0.559,0.058,0.384,0.255,1540.0,0.67,0.33,2.41,2132240,2010,29268.0,0.6351988519885199,0.13376383763837638,0.008268416017493509,0.0035533688670220036,0.0005125051250512505,0.11012026786934535,0.10858275249419161
